Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 113  | ACTUAL WALLET AMOUNT:: 119.68  | WALLET AMOUNT:: 12.68  | DIFFERENCE:: 107.00
INVESTOR ID:: 114  | ACTUAL WALLET AMOUNT:: 7.24  | WALLET AMOUNT:: 7.24  | DIFFERENCE:: 0.00
INVESTOR ID:: 115  | ACTUAL WALLET AMOUNT:: 64.79  | WALLET AMOUNT:: 54.79  | DIFFERENCE:: 10.00
INVESTOR ID:: 116  | ACTUAL WALLET AMOUNT:: 55.01  | WALLET AMOUNT:: 55.01  | DIFFERENCE:: 0.00
INVESTOR ID:: 117  | ACTUAL WALLET AMOUNT:: 22.28  | WALLET AMOUNT:: 22.28  | DIFFERENCE:: 0.00
INVESTOR ID:: 118  | ACTUAL WALLET AMOUNT:: 4.58  | WALLET AMOUNT:: 4.58  | DIFFERENCE:: 0.00
INVESTOR ID:: 119  | ACTUAL WALLET AMOUNT:: 99.39  | WALLET AMOUNT:: 99.39  | DIFFERENCE:: 0.00
INVESTOR ID:: 120  | ACTUAL WALLET AMOUNT:: 85.00  | WALLET AMOUNT:: 85.00  | DIFFERENCE:: 0.00
INVESTOR ID:: 121  | ACTUAL WALLET AMOUNT:: 85.51  | WALLET AMOUNT:: 85.51  | DIFFERENCE:: 0.00
INVESTOR ID:: 122  | ACTUAL WALLET AMOUNT:: 101.51  | WALLET AMOUNT:: 101.51  | DIFFERENCE:: 0.00
INVESTOR ID:: 123  | ACTUAL WALLET AMOUNT:: 427.00  | WALLET AMOUNT:: 427.00  | DIFFERENCE:: 0.00
INVESTOR ID:: 124  | ACTUAL WALLET AMOUNT:: 210.41  | WALLET AMOUNT:: 109.63  | DIFFERENCE:: 100.78
INVESTOR ID:: 125  | ACTUAL WALLET AMOUNT:: 41.73  | WALLET AMOUNT:: 41.73  | DIFFERENCE:: 0.00
INVESTOR ID:: 126  | ACTUAL WALLET AMOUNT:: 31.36  | WALLET AMOUNT:: 31.36  | DIFFERENCE:: 0.00
INVESTOR ID:: 127  | ACTUAL WALLET AMOUNT:: -6299.26  | WALLET AMOUNT:: 13.74  | DIFFERENCE:: -6313.00
INVESTOR ID:: 128  | ACTUAL WALLET AMOUNT:: 21.78  | WALLET AMOUNT:: 21.78  | DIFFERENCE:: 0.00
INVESTOR ID:: 129  | ACTUAL WALLET AMOUNT:: 23.57  | WALLET AMOUNT:: 23.57  | DIFFERENCE:: 0.00
INVESTOR ID:: 130  | ACTUAL WALLET AMOUNT:: 65.17  | WALLET AMOUNT:: 65.17  | DIFFERENCE:: 0.00
INVESTOR ID:: 131  | ACTUAL WALLET AMOUNT:: 40.82  | WALLET AMOUNT:: 40.82  | DIFFERENCE:: 0.00
INVESTOR ID:: 132  | ACTUAL WALLET AMOUNT:: 65.85  | WALLET AMOUNT:: 65.85  | DIFFERENCE:: 0.00
INVESTOR ID:: 133  | ACTUAL WALLET AMOUNT:: 530.58  | WALLET AMOUNT:: 149.54  | DIFFERENCE:: 381.04
INVESTOR ID:: 134  | ACTUAL WALLET AMOUNT:: 333.75  | WALLET AMOUNT:: 175.75  | DIFFERENCE:: 158.00
INVESTOR ID:: 135  | ACTUAL WALLET AMOUNT:: -2201.46  | WALLET AMOUNT:: 703.57  | DIFFERENCE:: -2905.03
INVESTOR ID:: 136  | ACTUAL WALLET AMOUNT:: 55.29  | WALLET AMOUNT:: 55.29  | DIFFERENCE:: 0.00
INVESTOR ID:: 137  | ACTUAL WALLET AMOUNT:: 13.69  | WALLET AMOUNT:: 13.69  | DIFFERENCE:: 0.00
